timestamp,phase,speed_kmh,event,elapsed_seconds,datetime,seconds_only,Violation,Coordinates
1342.890000105,2,0.0,PHASE_START,1342.890000105,1970-01-01 00:22:22.890000105,22,Assisted-A,
1414.710000038,2,39.87,SPEED_VIOLATION,1414.710000038,1970-01-01 00:23:34.710000038,34,Speed 39.87 km/h > limit 30.00 km/h ,"(x=-6.841944, y=-50.923023, z=0.001727)"
1442.00999999,2,58.83,SPEED_VIOLATION,1442.00999999,1970-01-01 00:24:02.009999990,2,Speed 58.83 km/h > limit 30.00 km/h ,"(x=-5.575785, y=41.683300, z=0.001655)"
1468.410000086,2,58.54,SPEED_VIOLATION,1468.410000086,1970-01-01 00:24:28.410000086,28,Speed 58.54 km/h > limit 30.00 km/h ,"(x=-15.254676, y=130.140793, z=0.001566)"
1509.390000105,2,97.08,SPEED_VIOLATION,1509.390000105,1970-01-01 00:25:09.390000105,9,Speed 97.08 km/h > limit 90.00 km/h ,"(x=120.720009, y=206.499680, z=1.764743)"
1607.660000086,2,85.83,SPEED_VIOLATION,1607.660000086,1970-01-01 00:26:47.660000086,47,Speed 85.83 km/h > limit 30.00 km/h ,"(x=239.449371, y=63.796432, z=0.013233)"
1616.330000162,2,49.8,SPEED_VIOLATION,1616.330000162,1970-01-01 00:26:56.330000162,56,Speed 49.80 km/h > limit 30.00 km/h ,"(x=204.203842, y=-209.931396, z=0.001652)"
1643.720000028,2,41.17,SPEED_VIOLATION,1643.720000028,1970-01-01 00:27:23.720000028,23,Speed 41.17 km/h > limit 30.00 km/h ,"(x=150.181152, y=-173.212738, z=1.252617)"
1656.890000105,2,37.05,SPEED_VIOLATION,1656.890000105,1970-01-01 00:27:36.890000105,36,Speed 37.05 km/h > limit 30.00 km/h ,"(x=150.977982, y=-112.097908, z=8.001772)"
1704.070000171,2,60.52,YELLOW_LIGHT_PASS,1704.070000171,1970-01-01 00:28:24.070000171,24,Passed yellow ,"(x=20.670376, y=-139.836945, z=0.147893)"
